Do you want to reincarnate again as another human in your next life?,来世も人でありたいですか？,yes,はい,no,いいえ
You are in the best dream you have ever had. Do you want to wake up?,最高の夢を見ています。覚めたいですか？,yes,はい,no,いいえ
Which do you prefer?,どちらが良いですか？,a car,車,a bicycle,自転車
Which do you prefer?,どちらが良いですか？,Nothing to do,暇,Many things to do,忙しい
You want to live in silence or with sound?,一生無音か音がある生活どちらが良いですか？,in silence,無音,with sound,音がある
Do you want to have the same gender in your next life?,生まれ変わったら同じ性別でありたいですか？,yes,はい,no,いいえ
Are you aware of your greatest needs/desires?,自分が持つ一番の欲求に意識的ですか？,yes,はい,no,いいえ
Do you research a lot when you go somewhere you don't know?,知らない場所に行く前に下調べはしますか？,yes,はい,no,いいえ
If you could you'd go to,過去にいけるか未来にいかるかならどちらに行きますか？,the past,過去,the future,未来
Is there a way to get to know you better without having to ask questions?,質問しないであなたをよく知る方法はありますか？,yes,はい,no,いいえ
